periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2,param3
257,50.0,-0.00463420434251475,2,1,1,13731.823892271303,13668.187814359091,13731.823892271303,13619.850643708565,3.2916851441241683,68.29268292682927,22,10,7,4
258,100.0,0.002956728087221898,1,1,0,13668.187814359091,13708.60092917123,13708.60092917123,13668.187814359091,3.2916851441241683,68.29268292682927,21,11,6,4
259,100.0,0.005662504869191766,2,2,0,13708.60092917123,13786.22594868247,13786.22594868247,13708.60092917123,3.6265957446808503,70.2127659574468,24,7,7,4
260,75.0,0.002347860933861304,4,3,1,13786.22594868247,13818.594090012766,13930.266927571534,13786.22594868247,3.5025252525252526,68.88888888888889,7,24,7,4
261,66.66666666666666,-0.001287970939040669,3,2,1,13818.594090012766,13800.79614240643,13818.594090012766,13704.953255942577,3.355411255411256,69.04761904761905,31,5,5,4
262,0.0,-0.008547706842218785,1,0,1,13800.79614240643,13682.830982791917,13800.79614240643,13682.830982791917,2.85,68.75,21,11,5,4
263,100.0,0.007155186843572311,2,2,0,13682.830982791917,13780.734195022813,13780.734195022813,13682.830982791917,2.2772727272727273,81.25,29,30,6,3
264,25.0,-0.02003663382008231,4,1,3,13780.734195022813,13504.614670185254,13780.734195022813,13504.614670185254,2.3487012987012985,71.42857142857143,21,23,16,5
267,100.0,0.0038485919192186775,1,1,0,13504.614670185254,13556.588421077091,13556.588421077091,13504.614670185254,2.7727272727272725,70.0,22,7,5,4
268,100.0,0.007429348768627379,2,2,0,13556.588421077091,13657.305044570008,13657.305044570008,13556.588421077091,2.7727272727272725,70.0,22,7,5,4
271,100.0,0.002498355966151091,1,1,0,13657.305044570008,13691.425854109655,13691.425854109655,13657.305044570008,2.1151515151515152,83.33333333333334,26,33,57,3
275,66.66666666666666,-0.0008673001604975377,3,2,1,13691.425854109655,13679.551278268946,13691.425854109655,13580.886825656775,2.6294612794612795,70.37037037037037,10,13,16,1
277,80.0,0.0044054897003346265,5,4,1,13679.551278268946,13739.816400530559,13804.003782917356,13679.551278268946,2.7039184952978057,68.96551724137932,10,13,17,1
279,100.0,0.0032930408805699725,1,1,0,13739.816400530559,13785.062177629032,13785.062177629032,13739.816400530559,2.422314049586777,72.72727272727273,5,5,36,2
280,100.0,0.011611918267871451,3,3,0,13785.062177629032,13945.133192953186,13945.133192953186,13785.062177629032,2.3141414141414143,77.77777777777779,5,5,47,2
282,100.0,0.004265067649440377,1,1,0,13945.133192953186,14004.610129401588,14004.610129401588,13945.133192953186,2.1151515151515152,83.33333333333334,56,12,5,3
286,60.0,-0.0069668567174393506,5,3,2,14004.610129401588,13907.042017246447,14050.669690438272,13869.016224178882,2.7641414141414145,77.77777777777779,5,5,45,2
287,50.0,-0.016769891489303586,6,3,3,13907.042017246447,13673.822431680039,13907.042017246447,13632.785451699514,2.906818181818182,71.875,5,5,44,2
288,33.33333333333333,-0.012687519091202151,3,1,2,13673.822431680039,13500.33554852839,13717.181464739237,13500.33554852839,2.4878787878787882,70.83333333333334,6,59,5,5
289,100.0,0.005592377219036457,2,2,0,13500.33554852839,13575.834517499328,13575.834517499328,13500.33554852839,2.422314049586777,72.72727272727273,6,60,5,5
290,100.0,0.0028761999911844248,1,1,0,13575.834517499328,13614.881332618881,13614.881332618881,13575.834517499328,2.3636363636363633,75.0,10,10,40,2
