periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2
285,0.0,-0.008184152519648142,1,0,1,13355.425749614471,13246.12290831479,13355.425749614471,13246.12290831479,2.559090909090909,72.0,6,41,2
286,57.14285714285714,-0.013168033776507972,7,4,3,13246.12290831479,13071.697514450325,13289.687891627967,12995.501296300627,2.833333333333333,73.33333333333333,6,42,2
287,75.0,0.0002953688849743615,4,3,1,13071.697514450325,13075.55848716989,13145.90551710713,13035.611926638947,2.7727272727272725,70.0,7,47,2
288,100.0,0.00723010954309816,2,2,0,13075.55848716989,13170.096207369315,13170.096207369315,13075.55848716989,2.1334224598930485,70.58823529411765,14,40,2
289,100.0,0.009735266008183923,3,3,0,13170.096207369315,13298.31059730143,13298.31059730143,13170.096207369315,2.3487012987012985,71.42857142857143,14,39,2
290,0.0,-0.008990981527208699,1,0,1,13298.31059730143,13178.745732378009,13298.31059730143,13178.745732378009,2.3396694214876033,68.18181818181817,24,57,2
291,100.0,0.00624359384053346,2,2,0,13178.745732378009,13261.028468058641,13261.028468058641,13178.745732378009,1.9084415584415584,85.71428571428571,34,28,1
293,0.0,-0.008824049851906728,1,0,1,13261.028468058641,13144.012491768937,13261.028468058641,13144.012491768937,1.9087412587412587,69.23076923076923,32,5,1
294,0.0,-0.015792660119588874,2,0,2,13144.012491768937,12936.4335698788,13144.012491768937,12936.4335698788,2.1334224598930485,70.58823529411765,30,5,4
295,50.0,-0.004070511044680387,2,1,1,12936.4335698788,12883.775674153834,12936.4335698788,12833.421906397645,2.1334224598930485,70.58823529411765,30,5,4
296,50.0,-0.006223176125741106,2,1,1,12883.775674153834,12803.597668969036,12883.775674153834,12766.708665809381,2.05,68.75,32,17,2
297,50.0,-0.005744496790218863,2,1,1,12803.597668969036,12730.04744325639,12845.110416805788,12730.04744325639,2.1636363636363636,75.0,10,8,1
298,0.0,-0.016021077434236735,2,0,2,12730.04744325639,12526.098367426472,12730.04744325639,12526.098367426472,2.3396694214876033,68.18181818181817,30,6,4
300,100.0,0.009698700380371643,3,3,0,12526.098367426472,12647.585242427203,12647.585242427203,12526.098367426472,2.414822134387352,69.56521739130434,29,6,4
303,100.0,0.003492780333114839,1,1,0,12647.585242427203,12691.760479423347,12691.760479423347,12647.585242427203,2.3396694214876033,68.18181818181817,29,6,4
304,66.66666666666666,-0.0017869225530776247,3,2,1,12691.760479423347,12669.081286384406,12691.760479423347,12587.262995668334,2.414822134387352,69.56521739130434,30,6,4
